text,label
"I'm offering my full season ticket at affordable price .dm If you're interested!",spam
"I'm offering my full season ticket at affordable price .dm If you're interested!!",spam
"Selling my south campus parking permit… Please text if you’re interested (404) 643-4786",spam
"I’m Selling my South Campus Parking Permit…. Please text if you’re interested (332) 251-7214",spam
"Selling my south deck parking permit (424) 501-5991 message me if you’re interested in it.",spam
"Selling my South Campus Parking Permit…. Please text if you’re interested (332) 251-7214",spam
"Hi guys I’m selling my football season tickets HMU dm if you’re interested 3057482599",spam
"Hey guys am looking to  sell my students  seasons tickets at affordable price hmu if anyone is interested 
+1 209-267-4523 Hit me up guys",spam
"Looking for someone selling a moped lol let me knowwww",spam
"Hey guys am looking to  sell my football seasons tickets hmu if anyone is interested +1 217-717-4223",spam
"I’m selling my South Campus Parking Permit…. Please text if you’re interested ((936) 323-2780)",spam
"Hey Guys I’m looking to sell my Megan Moroney tickets for Jun14• Sat• 8:00PM • 2025•At Jacobs Pavillon at Nautica•Cleveland•Ohio•USA 🇺🇸 whoever is interested in the tickets shd hmu",spam
"I’m giving away my Billie eilish and Zach Bryan tickets
Text me if you’re interested 
(281) 202-1168",spam
"Looking to pass my 4 Sabrina Carpenter Concert Tickets as I got mixed up in my schedule 22,Oct 2024 at Atlanta State Farm Arena Georgia, USAHmu if you’re interested +1 508-938-1750",spam
"I want to give out my MacBook Air 2020 & Charger** for free, it's in perfect health and good as new, alongside a charger so it's perfect, I want to give it out because I just got a new model and I thought of giving out the old one to someone who can't afford one and is in dire need of it... Strictly First come first serve !Dm IF YOU ARE INTERESTED +1 424-644-1464",spam
"Hey everyone I know this doesn't align  here but lost my son to cancer about a week ago, he was a strong kid and fought a good fight but God knows best I bought him a play station 5 unfortunately he never got chance to see it. I’m willing to give it out the ps5 out for free because seeing the game hurts my soul send a dm on my cell number  +13317163460 or send a text on carlamary222.a@gmail.com if you want the gaming system",spam
"I’m giving away my Kendrick lamer and sza concert tickets and my Tyler the creator tickets
Text me if you’re interested 
(848) 317-9892",spam

