text,label
"Hey! Selling 2 tickets for the Eagles game this Sunday. Section 112, Row 5. Great view! Call or text me ASAP before they're gone. (215) 555-0182",spam
"Got extra tickets for the Taylor Swift concert next month. Floor seats! My friend bailed. Hit me up if you're interested. (615) 555-0123. Serious inquiries only.",spam
"Selling a parking pass for the stadium lot for the whole season. Super convenient. Text me at (404) 555-0199 if you want it.",spam
"Giants vs Cowboys tickets available. Lower level, 4 seats together. Contact me for pricing. (972) 555-0145. Can transfer immediately.",spam
"Can't make it to the Drake concert, selling two tickets below face value. DM me (305) 555-0111.",spam
"Selling 49ers tickets for the home opener. Club level seats. Call (415) 555-0133 for details.",spam
"I have a spare parking pass for Lot K this weekend, anyone need it? Text me (267) 555-0150.",spam
"Selling two tickets to the Lakers vs Celtics game. Courtside! Serious buyers only. (213) 555-0198.",spam
"Patriots season tickets for sale. Section 225. Great price for the whole package. (508) 555-0176.",spam
"Selling last minute tickets to the Bad Bunny show tonight! (787) 555-0142.",spam
"Got 3 tickets for the Yankees vs Red Sox series. Behind the dugout. Text (917) 555-0165.",spam
"Selling a VIP parking pass for the music festival. Close to the entrance. (323) 555-0188.",spam
"Chiefs vs Bills tickets. 2 seats on the 50-yard line. Call me if you want them (816) 555-0121.",spam
"Selling Olivia Rodrigo tickets for her show at MSG. (646) 555-0139.",spam
"Packers tickets for the December game. It's gonna be cold but worth it! (920) 555-0177.",spam
"Selling two floor seats for the Beyoncé concert. My plans changed. (713) 555-0191.",spam
"Steelers tickets, home game against the Ravens. 4 tickets. (412) 555-0163.",spam
"Selling parking pass for the entire concert series at the amphitheater. (615) 555-0124.",spam
"Warriors vs. Bulls tickets. Lower bowl. Great seats. (415) 555-0189.",spam
"Selling Ed Sheeran tickets. Had something come up. (212) 555-0144.",spam
"Selling two tickets for the Phillies game. Diamond Club. (215) 555-0199.",spam
"Have an extra parking pass for the Eagles game. Lot M. Text me at (267) 555-0112.",spam
"Selling 4 tickets to the Morgan Wallen concert. Can't go anymore. (615) 555-0131.",spam
"Cubs tickets for the weekend series. Bleacher seats. (773) 555-0155.",spam
"Selling a parking pass right next to the stadium. Guaranteed spot. (312) 555-0187.",spam
"76ers playoff tickets. Section 104. Selling as a pair. (215) 555-0149.",spam
"Selling two tickets for the Bruce Springsteen show. Amazing seats. (201) 555-0173.",spam
"Dodgers tickets for sale. Loge level. (323) 555-0192.",spam
"Selling a season parking pass for the university football games. (734) 555-0168.",spam
"Knicks tickets for Friday night. Great view of the court. (212) 555-0128.",spam
"Selling last minute tickets for the comedy show tonight. (310) 555-0141.",spam
"Selling 3 tickets to the soccer match. USA vs Mexico. (512) 555-0181.",spam
"Parking pass for the downtown garage during the festival. (617) 555-0194.",spam
"Selling two tickets to the hockey game. Center ice. (215) 555-0137.",spam
"Friend can't make it to the Post Malone concert, selling his ticket. (972) 555-0159.",spam
"Selling 4 tickets to the baseball game, family section. (410) 555-0179.",spam
"Parking pass available for the convention center this weekend. (702) 555-0183.",spam
"Selling a pair of tickets to the UFC fight. Octagon-side. (702) 555-0127.",spam
"Got two extra tickets for the film premiere. (310) 555-0161.",spam
"Selling a parking pass for the art fair. Super close. (305) 555-0114.",spam
"Heat vs Knicks tickets. 2 seats available. Call for price (305) 555-0116.",spam
"Selling my weekend pass for Coachella. Can't go last minute. (760) 555-0129.",spam
"Two tickets for the opera tonight. Great seats, selling cheap. (212) 555-0134.",spam
"Parking pass for the marathon route. Get a front-row spot. (617) 555-0151.",spam
"Selling my season pass for the ski resort. Moving away. (303) 555-0169.",spam
"Astros tickets for the playoff game. Behind home plate. (713) 555-0184.",spam
"Selling two tickets to the sold out Harry Styles show. (323) 555-0196.",spam
"Parking pass for the farmers market. Best spot in the lot. (828) 555-0118.",spam
"Selling 4 tickets to the Disney on Ice show. Kids will love it. (407) 555-0136.",spam
"Red Wings tickets for sale. On the glass. (313) 555-0153.",spam
"Selling a pair of tickets to the ballet. Orchestra level. (415) 555-0171.",spam
"Parking pass for the boat show. Skip the long walk. (954) 555-0186.",spam
"Selling two tickets to the Weeknd concert. Section 101. (416) 555-0197.",spam
"Got an extra ticket for the golf tournament. Final round. (706) 555-0122.",spam
"Selling a parking pass for the airport. Long term, cheap. (404) 555-0143.",spam
"Bruins playoff tickets. Loge Box 5. (617) 555-0158.",spam
"Selling my ticket to the tech conference. Can no longer attend. (650) 555-0174.",spam
"Two tickets for the symphony orchestra. Center balcony. (215) 555-0185.",spam
"Selling a parking pass for the street fair. Prime location. (718) 555-0195.",spam
"FC Barcelona vs Real Madrid tickets. El Clásico! (305) 555-0113.",spam
"Selling two tickets to the Justin Bieber concert. Great price. (818) 555-0130.",spam
"Parking pass for the comic book convention. (619) 555-0148.",spam
"Selling my tickets for the music awards show. (310) 555-0162.",spam
"Maple Leafs tickets. Gold seats. Call me. (416) 555-0178.",spam
"Selling a pair of tickets to the new blockbuster premiere. (323) 555-0190.",spam
"Parking pass for the university graduation ceremony. (617) 555-0117.",spam
"Selling two tickets to the Rolling Stones. Legendary show. (312) 555-0132.",spam
"NASCAR race tickets. Pit road access. (704) 555-0152.",spam
"Selling my pass to the wine tasting festival. (707) 555-0167.",spam
"Two tickets for the heavyweight boxing match. Ringside. (702) 555-0180.",spam
"Selling a parking pass for the beach on the 4th of July. (310) 555-0193.",spam
"Seahawks vs Rams tickets. Lower bowl, end zone. (206) 555-0115.",spam
"Selling two tickets to the Adele concert. (702) 555-0126.",spam
"Parking pass for the downtown New Year's Eve event. (212) 555-0146.",spam
"Selling my tickets for the fashion week show. (212) 555-0160.",spam
"Canadiens vs Bruins tickets. Classic rivalry. (514) 555-0175.",spam
"Selling a pair of tickets to the taping of a popular TV show. (818) 555-0189.",spam
"Parking pass for the state fair. All-day pass. (972) 555-0119.",spam
"Selling two tickets to the Coldplay concert. A-level seats. (44) 20 7123 4567.",spam
"Formula 1 race tickets. Grandstand seats. (512) 555-0140.",spam
"Selling my pass to the beer festival. Unlimited tastings. (619) 555-0156.",spam
"Two tickets for the tennis open. Finals match. (917) 555-0170.",spam
"Selling a parking pass for the holiday parade. (215) 555-0188.",spam
"Suns playoff tickets. Lower level. (602) 555-0120.",spam
"Selling two tickets to the Elton John farewell tour. (310) 555-0135.",spam
"Parking pass for the cherry blossom festival. (202) 555-0154.",spam
"Selling my tickets for the gaming tournament finals. (206) 555-0166.",spam
"Blackhawks tickets. Club level with parking included. (312) 555-0172.",spam
"Selling a pair of tickets to the magic show. Front row. (702) 555-0187.",spam
"Parking pass for the outdoor food market. (503) 555-0198.",spam
"Selling two tickets to the U2 concert. General admission. (312) 555-0110.",spam
"World Cup qualifying match tickets. (816) 555-0125.",spam
"Selling my pass to the local film festival. (512) 555-0147.",spam
"Two tickets for the WWE event. Ringside seats. (407) 555-0164.",spam
"Selling a parking pass for the botanical garden light show. (215) 555-0179.",spam
"Ravens tickets. 50-yard line, lower level. (410) 555-0191.",spam
"Selling two tickets to the Lady Gaga concert. (702) 555-0138.",spam
"Parking pass for the antique car show. (717) 555-0157.",spam
"Eagles tickets for sale. (215) 555-1001",spam
"Parking pass available. (404) 555-1002",spam
"Concert tickets cheap. (615) 555-1003",spam
"Cowboys tickets. (972) 555-1004",spam
"Drake tickets here. (305) 555-1005",spam
"49ers tickets. (415) 555-1006",spam
"Parking for game. (267) 555-1007",spam
"Lakers tickets. (213) 555-1008",spam
"Patriots tickets. (508) 555-1009",spam
"Bad Bunny tickets. (787) 555-1010",spam
"Yankees tickets for sale. (917) 555-1011",spam
"VIP parking. (323) 555-1012",spam
"Chiefs tickets. (816) 555-1013",spam
"Olivia Rodrigo tickets. (646) 555-1014",spam
"Packers tickets. (920) 555-1015",spam
"Beyoncé tickets. (713) 555-1016",spam
"Steelers tickets. (412) 555-1017",spam
"Concert parking pass. (615) 555-1018",spam
"Warriors tickets. (415) 555-1019",spam
"Ed Sheeran tickets. (212) 555-1020",spam
"Phillies tickets. (215) 555-1021",spam
"Parking Lot M pass. (267) 555-1022",spam
"Morgan Wallen tickets. (615) 555-1023",spam
"Cubs tickets. (773) 555-1024",spam
"Stadium parking. (312) 555-1025",spam
"76ers tickets. (215) 555-1026",spam
"Springsteen tickets. (201) 555-1027",spam
"Dodgers tickets. (323) 555-1028",spam
"University parking pass. (734) 555-1029",spam
"Knicks tickets. (212) 555-1030",spam
"Comedy show tickets. (310) 555-1031",spam
"Soccer tickets. (512) 555-1032",spam
"Garage parking pass. (617) 555-1033",spam
"Hockey tickets. (215) 555-1034",spam
"Post Malone tickets. (972) 555-1035",spam
"Baseball tickets. (410) 555-1036",spam
"Convention parking. (702) 555-1037",spam
"UFC tickets. (702) 555-1038",spam
"Movie premiere tickets. (310) 555-1039",spam
"Art fair parking. (305) 555-1040",spam
"Heat tickets. (305) 555-1041",spam
"Coachella pass. (760) 555-1042",spam
"Opera tickets. (212) 555-1043",spam
"Marathon parking. (617) 555-1044",spam
"Ski resort pass. (303) 555-1045",spam
"Astros tickets. (713) 555-1046",spam
"Harry Styles tickets. (323) 555-1047",spam
"Farmers market parking. (828) 555-1048",spam
"Disney on Ice tickets. (407) 555-1049",spam
"Red Wings tickets. (313) 555-1050",spam
"Ballet tickets. (415) 555-1051",spam
"Boat show parking. (954) 555-1052",spam
"The Weeknd tickets. (416) 555-1053",spam
"Golf tournament ticket. (706) 555-1054",spam
"Airport parking. (404) 555-1055",spam
"Bruins tickets. (617) 555-1056",spam
"Tech conference ticket. (650) 555-1057",spam
"Symphony tickets. (215) 555-1058",spam
"Street fair parking. (718) 555-1059",spam
"Real Madrid tickets. (305) 555-1060",spam
"Justin Bieber tickets. (818) 555-1061",spam
"Comic con parking. (619) 555-1062",spam
"Awards show tickets. (310) 555-1063",spam
"Maple Leafs tickets. (416) 555-1064",spam
"Blockbuster premiere tickets. (323) 555-1065",spam
"Graduation parking. (617) 555-1066",spam
"Rolling Stones tickets. (312) 555-1067",spam
"NASCAR tickets. (704) 555-1068",spam
"Wine festival pass. (707) 555-1069",spam
"Boxing match tickets. (702) 555-1070",spam
"Beach parking pass. (310) 555-1071",spam
"Seahawks tickets. (206) 555-1072",spam
"Adele tickets. (702) 555-1073",spam
"New Year's Eve parking. (212) 555-1074",spam
"Fashion week tickets. (212) 555-1075",spam
"Canadiens tickets. (514) 555-1076",spam
"TV show taping tickets. (818) 555-1077",spam
"State fair parking. (972) 555-1078",spam
"Coldplay tickets. (44) 20 7123 4567",spam
"Formula 1 tickets. (512) 555-1079",spam
"Beer festival pass. (619) 555-1080",spam
"Tennis open tickets. (917) 555-1081",spam
"Holiday parade parking. (215) 555-1082",spam
"Suns tickets. (602) 555-1083",spam
"Elton John tickets. (310) 555-1084",spam
"Cherry blossom parking. (202) 555-1085",spam
"Gaming tournament tickets. (206) 555-1086",spam
"Blackhawks tickets. (312) 555-1087",spam
"Magic show tickets. (702) 555-1088",spam
"Food market parking. (503) 555-1089",spam
"U2 tickets. (312) 555-1090",spam
"World Cup tickets. (816) 555-1091",spam
"Film festival pass. (512) 555-1092",spam
"WWE tickets. (407) 555-1093",spam
"Garden light show parking. (215) 555-1094",spam
"Ravens tickets. (410) 555-1095",spam
"Lady Gaga tickets. (702) 555-1096",spam
"Car show parking. (717) 555-1097",spam
"Selling football tickets. (111) 555-2001",spam
"Parking for sale. (111) 555-2002",spam
"Concert tix. (111) 555-2003",spam
"Game tickets cheap. (111) 555-2004",spam
"Tickets for show. (111) 555-2005",spam
"Parking pass here. (111) 555-2006",spam
"Selling tickets now. (111) 555-2007",spam
"Parking spot for sale. (111) 555-2008",spam
"Tickets available. (111) 555-2009",spam
"Parking cheap. (111) 555-2010",spam
"Selling game tickets. (222) 555-2011",spam
"Parking for concert. (222) 555-2012",spam
"Tickets for sale. (222) 555-2013",spam
"Parking pass cheap. (222) 555-2014",spam
"Selling show tickets. (222) 555-2015",spam
"Parking for event. (222) 555-2016",spam
"Tickets here. (222) 555-2017",spam
"Parking available now. (222) 555-2018",spam
"Game tickets. (222) 555-2019",spam
"Parking spot cheap. (222) 555-2020",spam
"Selling tickets cheap. (333) 555-2021",spam
"Parking for sale now. (333) 555-2022",spam
"Concert tickets available. (333) 555-2023",spam
"Parking pass for game. (333) 555-2024",spam
"Show tickets for sale. (333) 555-2025",spam
"Parking for cheap. (333) 555-2026",spam
"Tickets for game cheap. (333) 555-2027",spam
"Parking spot for concert. (333) 555-2028",spam
"Selling tickets. (333) 555-2029",spam
"Parking pass. (333) 555-2030",spam
"Game tickets now. (444) 555-2031",spam
"Parking for sale. (444) 555-2032",spam
"Concert tickets here. (444) 555-2033",spam
"Parking pass for sale. (444) 555-2034",spam
"Tickets for the show. (444) 555-2035",spam
"Parking spot for event. (444) 555-2036",spam
"Selling game tickets cheap. (444) 555-2037",spam
"Parking for the concert. (444) 555-2038",spam
"Tickets available now. (444) 555-2039",spam
"Parking cheap now. (444) 555-2040",spam
"Selling football tickets cheap. (555) 555-2041",spam
"Parking pass for sale cheap. (555) 555-2042",spam
"Concert tickets for sale. (555) 555-2043",spam
"Game tickets cheap now. (555) 555-2044",spam
"Tickets for show cheap. (555) 555-2045",spam
"Parking pass here cheap. (555) 555-2046",spam
"Selling tickets now cheap. (555) 555-2047",spam
"Parking spot for sale cheap. (555) 555-2048",spam
"Tickets available cheap. (555) 555-2049",spam
"Parking cheap for game. (555) 555-2050",spam
"Selling game tickets now. (666) 555-2051",spam
"Parking for concert cheap. (666) 555-2052",spam
"Tickets for sale cheap. (666) 555-2053",spam
"Parking pass cheap now. (666) 555-2054",spam
"Selling show tickets cheap. (666) 555-2055",spam
"Parking for event cheap. (666) 555-2056",spam
"Tickets here cheap. (666) 555-2057",spam
"Parking available now cheap. (666) 555-2058",spam
"Game tickets cheap. (666) 555-2059",spam
"Parking spot cheap now. (666) 555-2060",spam
"Selling tickets cheap now. (777) 555-2061",spam
"Parking for sale now cheap. (777) 555-2062",spam
