text,label
Hey Guys I’m looking to sell my Megan Moroney tickets for Jun14• Sat• 8:00PM • 2025•At Jacobs Pavillon at Nautica•Cleveland•Ohio•USA 🇺🇸 whoever is interested in the tickets shd hmu,spam
"Hey everyone I know this doesn't align here but lost my son to cancer about a week ago, he was a strong kid and fought a good fight but God knows best I bought him a play station 5 unfortunately he never got chance to see it. I’m willing to give it out the ps5 out for free because seeing the game hurts my soul send a dm on my cell number +13317163460 or send a text on carlamary222.a@gmail.com if you want the gaming system",spam
"I want to give out my MacBook Air 2020 & Charger** for free, it's in perfect health and good as new, alongside a charger so it's perfect, I want to give it out because I just got a new model and I thought of giving out the old one to someone who can't afford one and is in dire need of it... Strictly First come first serve ! Dm IF YOU ARE INTERESTED +1 424-644-1464",spam
I’m giving away my Kendrick lamer and sza concert tickets and my Tyler the creator tickets Text me if you’re interested (848) 317-9892,spam
2018 Kia optima S For Sale $2300 Perfect condition no problems at all Just need some space I had bought a new car. HMU@ (786) 887-2518,spam
My wife’s grandma just passed away and I’m selling her toys. Barely used! Dm me now!!?,spam
"I want to give out my MacBook Air 2023 for free it’s in perfect health and good condition along side a change so it’s perfect , I want to give it because I just got a new model so I want to give it out anyone interested in it you can text me on iMessage aliceadinolfi@icloud.com if you want the MacBook?",spam
2018 Kia optima S For Sale $2300 Perfect condition no problems at all Just need some space I had bought a new car. HMU@ (786) 887-2518,spam
I’m giving away my Billie eilish and Zach Bryan tickets Text me if you’re interested (281) 202-1168,spam
Selling GA tech ticket HMU 🤙 if interested! +1 504-345-1568,spam
"Am Selling my Tennessee and olemiss tickets at affordable price and can also sell individual, msg me private 🎟 Or text me +1 304-500-8952",spam
Hi everyone I've got 3x Sabrina Carpenter tickets for sale at lower price. We cannot go anymore due to change in our schedule. If you are interested HMU @ (786) 887-2518,spam
Selling Georgia and Egg bowl ticket!,spam
Selling my Georgia vs Tennessee ticket!,spam
Selling my Tennessee ticket! +1 504-345-1568,spam
PS5 For sale/ 1 remote/ 1 brand new condition (color blue) GTA 5 Disc included Used for 2 months.,spam
I’ve got 3 more Billie Eilish tickets for sale I won’t have to be attending the show anymore Text me on (862) 417-7546 if you’re interested in buying.,spam
Selling my season tickets can also sell individual dm if you’re interested,spam
Selling my left kidney can also sell right dm if you’re interested,spam
